,Area_rep,1/2024,2/2024,3/2024,4/2024,5/2024,6/2024,7/2024,8/2024,9/2024,10/2024,11/2024,12/2024
41,global_sales,6486881.0,5371700.0,5380802.0,7166369.0,6841826.0,8378220.0,11637253.0,13090028.0,11614475.0,13894954.0,15499158.0,14570527.0
14,GOMLA,3476129.0,3017230.0,2854427.0,4259032.0,3406777.0,3775086.0,5700903.0,6949134.0,5916992.0,7598106.0,8488477.0,7349134.0
40,global_pharmacy,3010752.0,2354470.0,2526375.0,2907337.0,3435049.0,4603134.0,5936350.0,6140894.0,5697483.0,6296848.0,7010681.0,7221393.0
0,ALEXANDRIA,2048047.0,1461667.0,1678848.0,1721189.0,2088069.0,2882780.0,3256523.0,4140829.0,3693008.0,3667747.0,3930147.0,3984458.0
39,SHIMAA,1218259.0,1071981.0,1059471.0,1236605.0,1486889.0,1646285.0,2305177.0,2271761.0,1992348.0,2052760.0,2056914.0,2031178.0
10,Behira,473995.0,489914.0,603193.0,798753.0,930193.0,1249373.0,1562259.0,1242810.0,1460647.0,2228060.0,2470966.0,2593433.0
24,Kafr dwar,473995.0,489914.0,603193.0,798753.0,930193.0,893004.0,908421.0,801995.0,950195.0,1644445.0,1480954.0,1407355.0
11,ESRAA,690445.0,534689.0,554010.0,591838.0,649798.0,724563.0,696926.0,785566.0,786717.0,987188.0,1129146.0,1240191.0
26,Kafr dwar1,473995.0,489914.0,603193.0,798753.0,930193.0,893004.0,908421.0,797214.0,747808.0,861419.0,702252.0,747337.0
1,AYA,390216.0,245111.0,318622.0,385010.0,544221.0,504962.0,689589.0,1024752.0,708037.0,1154690.0,1155056.0,1050059.0
9,Alexandria / SHIMAA,386083.0,281048.0,294710.0,234075.0,389914.0,602304.0,926864.0,1131039.0,967831.0,816259.0,717062.0,630001.0
38,OMET,376998.0,282772.0,296907.0,349008.0,381486.0,812058.0,727781.0,930130.0,818017.0,686765.0,662205.0,714750.0
22,I_SUPPLY,267910.0,176857.0,275690.0,303609.0,318513.0,482126.0,627673.0,948554.0,882042.0,788940.0,882614.0,761247.0
30,Kafr dwar1 / SHIMAA,439736.0,452112.0,533476.0,629018.0,716901.0,636831.0,680812.0,559114.0,541013.0,517638.0,463499.0,482862.0
8,Alexandria / OMET,364113.0,282271.0,296907.0,349008.0,347147.0,597057.0,550677.0,853906.0,742446.0,596390.0,528226.0,615211.0
36,MATROUH,392440.0,338821.0,231285.0,373512.0,380074.0,407150.0,697501.0,581608.0,429968.0,329261.0,401196.0,405837.0
37,Matrouh / SHIMAA,392440.0,338821.0,231285.0,373512.0,380074.0,407150.0,697501.0,581608.0,429968.0,300274.0,401052.0,405837.0
2,Abo Mtamir,0.0,0.0,0.0,0.0,0.0,356369.0,653838.0,440815.0,510452.0,583615.0,990012.0,1186078.0
6,Alexandria / AYA,320139.0,160899.0,248092.0,214978.0,346558.0,282644.0,299412.0,399221.0,294679.0,333747.0,334694.0,369879.0
4,Abo Mtamir / IHAB,0.0,0.0,0.0,0.0,0.0,342064.0,478460.0,35321.0,392244.0,564193.0,735999.0,874148.0
31,Kafr dwar2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1310.0,103021.0,666197.0,686923.0,555319.0
27,Kafr dwar1 / AYA,21374.0,33871.0,67857.0,165952.0,178537.0,207567.0,181634.0,159555.0,168433.0,253244.0,200982.0,214970.0
13,GHARB,8966.0,6689.0,6715.0,10182.0,8391.0,188756.0,170548.0,35800.0,20800.0,28040.0,427469.0,327491.0
32,Kafr dwar2 / AYA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12276.0,410343.0,408637.0,304542.0
3,Abo Mtamir / AYA,0.0,0.0,0.0,0.0,0.0,14305.0,175378.0,405494.0,118208.0,19422.0,24594.0,26221.0
12,Engineer_SHAMS / SHIMAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203609.0,243869.0,289086.0
35,Kafr dwar2 / SHIMAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53536.0,214980.0,231432.0,223392.0
16,Gharb / ESRAA,325.0,1199.0,6202.0,6810.0,5675.0,21783.0,35768.0,33183.0,17753.0,23702.0,280576.0,286298.0
23,KONTY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301146.0,401063.0
5,Abo Mtamir / KONTY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229419.0,285709.0
25,Kafr dwar NAKRODY / AYA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3471.0,99366.0,116829.0,91779.0,104699.0
29,Kafr dwar1 / OMET,12885.0,501.0,0.0,0.0,34339.0,48606.0,45494.0,74914.0,38362.0,61273.0,37771.0,49505.0
21,ISLAM_KHORSHED / AYA,48703.0,50341.0,2673.0,4080.0,19126.0,446.0,33165.0,57011.0,15075.0,21105.0,94370.0,29748.0
19,Gharb / OMET,0.0,0.0,0.0,0.0,0.0,166395.0,131610.0,0.0,0.0,0.0,49354.0,22649.0
17,Gharb / ISUPPLY,8641.0,5490.0,513.0,3372.0,2716.0,578.0,1685.0,1587.0,1310.0,4338.0,94618.0,18544.0
34,Kafr dwar2 / OMET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1310.0,37209.0,29102.0,46854.0,27385.0
18,Gharb / KONTY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46065.0,71374.0
7,Alexandria / KONTY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25662.0,43980.0
33,Kafr dwar2 / ISLAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42411.0
20,Gharb / others,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9426.0
15,Gharb / AYA,0.0,0.0,0.0,0.0,0.0,0.0,1485.0,1030.0,1737.0,0.0,2921.0,0.0
28,Kafr dwar1 / ISLAM,0.0,0.0,0.0,0.0,5051.0,0.0,0.0,0.0,0.0,1503.0,0.0,0.0
