	Area_rep	Total	Jan-24	Feb-24	Mar-24	Apr-24	May-24	Jun-24	Jul-24	Aug-24	Sep-24	Oct-24	Nov-24	Dec-24
0	global_sales	5242343	226514	200367	249773	351746	350918	417782	552739	564599	448283	582753	661018	635851
1	global_pharmacy	2938548	145923	116131	130136	155655	172535	243581	312258	297701	275908	329762	370240	388718
2	GOMLA	2303795	80591	84236	119637	196091	178383	174201	240481	266898	172375	252991	290778	247133
3	ALEXANDRIA	1632862	96980	68755	84796	86944	97413	142784	155632	181151	163544	175080	186917	192866
4	SHIMAA	1118936	59813	56188	54490	69838	78389	90481	140213	117766	102550	114012	117412	117784
5	Behira	902901	21629	24375	30049	42721	47720	71181	97693	67102	76152	125746	143793	154740
6	Kafr dwar	607308	21629	24375	30049	42721	47720	48208	55081	40958	45838	90548	82928	77253
7	ESRAA	540212	41242	32039	35265	36043	35303	46679	38646	43282	44272	57579	61148	68714
8	Kafr dwar1	471204	21629	24375	30049	42721	47720	48208	55081	40786	37860	46442	36885	39448
9	AYA	406152	17343	10544	14647	19880	25985	25633	35732	50937	32935	59150	59883	53483
10	MATROUH	367283	23130	21077	14905	25648	25707	29105	56358	45244	35008	26717	32215	32169
11	Matrouh / SHIMAA	364240	23130	21077	14905	25648	25707	29114	56358	44948	34933	24048	32203	32169
12	Kafr dwar1 / SHIMAA	346727	20136	22496	26357	32798	36142	34963	42696	27900	26970	27910	23748	24611
13	Alexandria / SHIMAA	306141	16547	12615	13228	11392	16540	26404	41159	44918	38157	32676	27501	25004
14	OMET	296488	15477	11365	12812	15073	16110	35266	30281	38581	33931	29241	28201	30150
15	Abo Mtamir	295593	0	0	0	0	0	22973	42612	26144	30314	35198	60865	77487
16	I_SUPPLY	282413	10160	7334	11927	13107	13812	21189	26378	39312	36648	33438	37159	31949
17	Alexandria / OMET	252514	14973	11339	12812	15073	14488	25839	22452	34606	29883	24563	21456	25030
18	Abo Mtamir / IHAB	215363	0	0	0	0	0	22182	31508	2222	23207	33892	44903	57449
19	Alexandria / AYA	157566	13415	7213	10927	10007	14994	13708	12962	15651	12909	15221	14080	16479
20	Kafr dwar2	123379	0	0	0	0	0	0	0	65	5203	39939	43362	34810
21	Kafr dwar1 / AYA	101732	989	1677	3608	9729	9728	11094	9977	8782	8922	13787	11177	12262
22	Kafr dwar2 / AYA	70134	0	0	0	0	0	0	0	0	633	23844	26366	19291
23	Engineer_SHAMS / SHIMAA	56837	0	0	0	0	0	0	0	0	0	15422	19454	21961
24	GHARB	55755	332	272	338	400	376	8168	7032	1386	804	1111	19354	16182
25	Abo Mtamir / AYA	47489	0	0	0	0	0	791	11104	23922	7107	1306	1495	1764
26	Kafr dwar2 / SHIMAA	44991	0	0	0	0	0	0	0	0	2490	13956	14506	14039
27	KONTY	40677	0	0	0	0	0	0	0	0	0	0	17324	23353
28	Gharb / ESRAA	33395	3	51	317	250	273	869	1462	1280	685	938	12942	14325
29	Abo Mtamir / KONTY	32741	0	0	0	0	0	0	0	0	0	0	14467	18274
30	Kafr dwar1 / OMET	20230	504	26	0	0	1622	2151	2387	3910	1968	3127	1960	2575
31	ISLAM_KHORSHED / AYA	16506	2939	1654	112	144	1263	40	1689	2475	589	825	4084	692
32	Gharb / OMET	16078	0	0	0	0	0	7276	5442	0	0	0	2295	1065
33	Kafr dwar NAKRODY / AYA	12725	0	0	0	0	0	0	0	107	2775	4167	2681	2995
34	Kafr dwar2 / OMET	7666	0	0	0	0	0	0	0	65	2080	1551	2490	1480
35	Gharb / ISUPPLY	5977	329	221	21	150	103	23	64	66	48	173	3987	792
36	Gharb / KONTY	5496	0	0	0	0	0	0	0	0	0	0	1928	3568
37	Kafr dwar2 / NEW_APP	3571	0	0	0	0	0	0	0	0	0	0	624	2947
38	Alexandria / KONTY	2440	0	0	0	0	0	0	0	0	0	0	929	1511
39	Gharb / NEW_APP	396	0	0	0	0	0	0	0	0	0	0	0	396
40	Gharb / AYA	305	0	0	0	0	0	0	64	40	71	0	130	0
41	Abo Mtamir / NEW_APP	165	0	0	0	0	0	0	0	0	0	0	165	0
